Core: hps_sdram_p0 - Instance: u0|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",1.057,0.989
"Bus Turnaround Time (Slow 1100mV 85C Model)",3.307,--
"Core (Slow 1100mV 85C Model)",1.76,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",3.405,0.47
"DQS vs CK (Slow 1100mV 85C Model)",0.737,0.46
"Postamble (Slow 1100mV 85C Model)",0.507,0.507
"Read Capture (Slow 1100mV 85C Model)",0.139,0.092
"Write (Slow 1100mV 85C Model)",0.244,0.244
"Address Command (Slow 1100mV 0C Model)",1.072,0.969
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.332,--
"Core (Slow 1100mV 0C Model)",1.757,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.498,0.46
"DQS vs CK (Slow 1100mV 0C Model)",0.745,0.495
"Postamble (Slow 1100mV 0C Model)",0.497,0.497
"Read Capture (Slow 1100mV 0C Model)",0.156,0.108
"Write (Slow 1100mV 0C Model)",0.255,0.255
"Address Command (Fast 1100mV 85C Model)",1.198,0.929
"Bus Turnaround Time (Fast 1100mV 85C Model)",3.44,--
"Core (Fast 1100mV 85C Model)",2.14,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.757,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.822,0.571
"Postamble (Fast 1100mV 85C Model)",0.573,0.573
"Read Capture (Fast 1100mV 85C Model)",0.277,0.23
"Write (Fast 1100mV 85C Model)",0.313,0.313
"Address Command (Fast 1100mV 0C Model)",1.218,0.935
"Bus Turnaround Time (Fast 1100mV 0C Model)",3.452,--
"Core (Fast 1100mV 0C Model)",2.14,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.855,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.823,0.594
"Postamble (Fast 1100mV 0C Model)",0.578,0.578
"Read Capture (Fast 1100mV 0C Model)",0.277,0.23
"Write (Fast 1100mV 0C Model)",0.327,0.327
